id,title,publicationDate,place,description,siteUrl,favoritesCount,commentsCount,rating
51151,"«Тед  Лассо» получит четвёртый сезон",1724676404,"null","<p>Съёмки могут начаться в следующем году.</p>","https://kudago.com/all/news/chetvertyj-sezon-ted-lasso/",0,0,0.5
51150,"В зимнем расписании Пулкова впервые появятся рейсы в Шанхай",1724668021,"null","<p>Они будут выполняться три раза в неделю.</p>","https://kudago.com/spb/news/v-zimnem-raspisanii-pulkovo/",0,0,0.5
51148,"Конец лета порадует петербуржцев отсутствием дождей",1724664755,"null","<p>Похолодания не ожидается.</p>","https://kudago.com/spb/news/konets-leta-poraduet-peterburzhtsev/",0,0,0.5
51141,"Одноклассники запускают первое профессиональное шоу в формате slow life",1724656366,"null","<p>Проект перенесёт зрителей подальше от будничной суеты.</p>","https://kudago.com/all/news/odnoklassniki-zapuskayut-pervoe/",0,0,0.5
51139,"Создатель «Коня БоДжека» возьмётся за новый мультик для взрослых",1724420815,"null","<p>Сюжет будет строиться вокруг истории семьи.</p>","https://kudago.com/all/news/sozdatel-konya-bodzheka/",0,0,0.5
51142,"В школах России начнут преподавать семьеведение",1724420690,"null","<p>Цель курса — повысить рождаемость.</p>","https://kudago.com/all/news/v-shkolah-rossii-nachnut/",0,0,0.5
51140,"Ливерпульский клуб, где играли The Beatles, переделали в апартаменты",1724420583,"null","<p>У фанатов появилась возможность провести там выходные.</p>","https://kudago.com/all/news/liverpulskij-klub-gde-igrali/",0,0,0.5
51138,"Порушенная иерархия: рецензия на фильм «Идеальный лжец»",1724415408,"null","<p>В прокате — фильм «Идеальный лжец» с Питером Сарсгаардом в роли обольстительного негодяя. Захватывающая комедия не без иронии напоминает, что на самоизоляции живётся несладко в любые времена. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>","https://kudago.com/all/news/retsenziya-na-film-idealnyij-ljec/",0,0,0.5
51137,"Netflix снимет сериал по «Портрету Дориана Грея»",1724415112,"null","<p>Действие перенесут в наши дни.</p>","https://kudago.com/all/news/netflix-snimet-serial-po/",0,0,0.5
51134,"Опубликован трейлер аниме «Властелин колец: Война рохирримов»",1724410732,"null","<p>Премьера в конце года.</p>","https://kudago.com/all/news/opublikovan-trejler-anime/",0,0,0.5
51129,"ГМИИ имени Пушкина приглашает на акцию «Рисуем вместе»",1724409727,"null","<p>Она пройдёт в филиалах по всей стране.</p>","https://kudago.com/all/news/gmii-imeni-pushkina-priglashaet-na/",0,0,0.5
51130,"В Петербурге объявили «оранжевый» уровень погодной опасности",1724405776,"null","<p>Его сменит «жёлтый».</p>","https://kudago.com/spb/news/v-peterburge-obyavili-23-08-2024/",0,0,0.5
51132,"Вход на станцию «Площадь Восстания» ограничат",1724404133,"null","<p>Расписание работы вестибюля изменится на два месяца.</p>","https://kudago.com/spb/news/vhod-na-stantsiyu-ploschad/",0,0,0.5
51127,"Гнездо редкой птицы заметили в Петербурге",1724340517,"null","<p>Это лишь второй случай за несколько лет.</p>","https://kudago.com/spb/news/gnezdo-redkoj-ptitsyi-zametili-v/",0,0,0.5
51125,"В Африке нашли гигантский алмаз",1724340097,"null","<p>Он весит почти 500 грамм.</p>","https://kudago.com/all/news/v-afrike-nashli-gigantskij-almaz/",0,0,0.5
51119,"Москву посетит известный буддийский учитель",1724338685,"null","<p>Один из выдающихся буддийских учителей современности Кьябдже Намка Дриме Рабджам Ринпоче прибудет в Москву 1 сентября.</p>","https://kudago.com/all/news/moskvu-posetit-izvestnyij/",0,0,0.5
50818,"В Питере — строить бизнес. История студии Backyard Ceramics",1724338186,"null","<p>Петербургская студия  Backyard Ceramics создаёт особенный фарфор, который может стать украшением вашего дома, воплощением самых смелых идей, фишкой бренда или визитной карточкой ресторана. Создатель студии Павел Белоногов  <a href="https://kudago.com/spb/activity/biznes-v-pitere/">рассказал</a>, как современные технологии и любовь к историям помогли выйти на совершенно новый уровень бизнеса. </p>","https://kudago.com/all/news/v-pitere---stroit-biznes-backyard-ceramics/",0,0,0.5
51126,"Россияне мечтают о сиквеле «Мастера и Маргариты»",1724337469,"null","<p>А ещё большинство опрошенных любит читать новые истории про полюбившихся героев.</p>","https://kudago.com/all/news/rossiyane-mechtayut-prochitat/",0,0,0.5
51123,"Девятиклассникам запретят ссылаться на комиксы, аниме и компьютерные игры при сдаче ОГЭ",1724332746,"null","<p>Новые правила начнут действовать со следующего года.</p>","https://kudago.com/all/news/devyatiklassnikam-zapretyat/",0,0,0.5
51121,"Последние летние выходные в Петербурге будут тёплыми",1724331299,"null","<p>И почти без дождей.</p>","https://kudago.com/spb/news/poslednie-letnie-vyihodnyie-v/",0,0,0.5
51118,"Россияне в этом сезоне стали больше тратить на дачные товары",1724327274,"null","<p>«Одноклассники» подсчитали расходы на семена, саженцы и инвентарь.</p>","https://kudago.com/all/news/rossiyane-v-etom-sezone-stali/",0,0,0.5
51117,"Движение по Большеохтинскому мосту ограничат",1724324424,"null","<p>На переправе собираются менять асфальт.</p>","https://kudago.com/spb/news/dvizhenie-po-bolsheohtinskomu/",0,0,0.5
