id,title,publicationDate,place,description,siteUrl,favoritesCount,commentsCount,rating
51524,"Оркестр «Северная симфония» под руководством Фабио Мастранджело открыл новый сезон",1727347332,"null","<p>Музыканты представили проект, посвящённый Пушкину.</p>","https://kudago.com/spb/news/orkestr-severnaya-simfoniya-pod/",0,0,0.5
51506,"Петербург Лии Арден: по следам вдохновения писательницы",1727346033,"null","<p>В списках городов, повлиявших на творчество отечественных писателей в самые разные эпохи, Петербург определённо занимает лидирующие строчки: сложно сосчитать всех именитых авторов, чья поэзия и проза пронизана духом Северной столицы. Звезда русскоязычного фэнтези Лия Арден в их числе. Сейчас писательница живёт и работает в Южной Корее, при этом не забывая про родной для неё Санкт-Петербург и регулярно возвращаясь туда для встреч с преданными поклонниками её романов.</p><p><em>Мы спросили Лию, с какими достопримечательностями города на Неве у неё связаны особые воспоминания и как эти памятные локации нашли отражение на страницах её книг. Приготовьтесь открыть Петербург с новой, магической стороны.</em></p>","https://kudago.com/spb/news/peterburg-lii-arden-po-sledam/",0,0,0.5
51521,"В Баварии состоялся крупнейший в мире парад такс",1727340587,"null","<p>Участвовало больше 1000 животных.</p>","https://kudago.com/all/news/v-bavarii-sostoyalsya-krupnejshij-v/",0,0,0.5
51520,"Вышел дебютный трейлер продолжения «Волшебников из Вэйверли-плейс»",1727340293,"null","<p>Селена Гомес снялась в первом эпизоде в качестве приглашённого гостя.</p>","https://kudago.com/all/news/vyishel-debyutnyij-trejler/",0,0,0.5
51519,"Опубликован трейлер сериала Альфонсо Куарона с Кейт Бланшетт",1727276217,"null","<p>В проекте также участвуют Саша Барон Коэн и звезда «Игры в кальмара» Чон Хо Ён.</p>","https://kudago.com/all/news/poyavilsya-trejler-seriala/",0,0,0.5
51518,"У Linkin Park вышла новая песня",1727274968,"null","<p>Она войдёт в грядущий альбом группы.</p>","https://kudago.com/all/news/u-linkin-park-vyishla-novaya-pesnya/",0,0,0.5
51517,"Леди Гага анонсировала новый альбом",1727273123,"null","<p>Он выйдет в конце сентября.</p>","https://kudago.com/all/news/novyj-albom-ledi-gagi/",0,0,0.5
51505,"История как на ладони: 3 канала в VK Видео, которые оживляют прошлое",1727270827,"null","<p>Изучение истории может быть по-настоящему захватывающим и интерактивным процессом. KudaGo и VK Видео собрали для вас интересные исторические видеоблоги, где можно найти разборы мифов и легенд, реконструкцию событий и анализ малоизвестных фактов, которые помогают по-новому взглянуть на различные исторические моменты.</p>","https://kudago.com/all/news/istoriya-kak-na-ladoni-3-kanala/",1,0,0.7310585786300049
51516,"Вышел тизер-трейлер спин-оффа «Головоломки»",1727269209,"null","<p>Премьера состоится в декабре.</p>","https://kudago.com/all/news/tizer-trejler-spin-offa-golovolomki/",0,0,0.5
51515,"Фотография души: почему стоит посетить новое шоу Ленинград Центра",1727263871,"ru.fintech.kotlin.dto.Place@2251f3ad","<p>В честь 10-летия <a href="https://kudago.com/spb/place/leningrad-centr/">Ленинград Центра</a> на его сцене премьера 2024 года — <a href="https://kudago.com/spb/event/teatr-kollektsioner-fotouvelichenie/">шоу «Коллекционер. Фотоувеличение»</a>. Это путешествие в мир фотографии, любви, красоты и силы человеческого тела, многогранности танцевального искусства. Это рассказ о том, что снимок — не просто фиксация момента из жизни, но всегда история, которая не заканчивается за щелчком затвора.</p>","https://kudago.com/spb/news/fotografiya-dushi-pochemu-stoit/",0,0,0.5
